Año_Mes;Alimentos Y Bebidas No Alcohólicas;Bebidas Alcohólicas, Tabaco Y Narcóticos;Ropa Y Calzado;Vivienda, Agua, Electricidad, Gas Y Otros Combustibles;Mobiliario, Enseres Domésticos Y Demás Artículos Regulares De Los Hogares;Salud;Transporte;Información Y Comunicación;Recreación, Deporte Y Cultura;Servicios De Educación;Restaurantes Y Servicios De Alojamiento;Seguros Y Servicios Financieros;Cuidado Personal, Protección Social Y Bienes Diversos;IPC
abr.-20;82.0908;84.0895;83.6493;85.416;80.5699;80.1415;81.811;92.0454;81.1558;81.5153;81.7071;79.7373;82.3457;82.55
may.-20;82.8856;84.3475;85.1687;85.6634;81.3015;80.7559;81.9169;92.1701;81.0689;80.1251;82.1423;80.4276;83.1815;83.02
jun.-20;82.2808;84.4155;86.3509;85.8699;81.4948;80.8945;81.7095;92.765;81.6948;79.6208;82.6018;80.9038;83.6613;83.03
jul.-20;82.3082;84.3064;85.8682;86.1082;81.7492;81.5773;82.2139;93.1395;83.1458;83.6852;82.7312;82.163;84.0499;83.49
ago.-20;82.4118;84.6868;85.5184;86.4811;83.1622;82.8017;81.905;93.1899;84.5954;84.925;83.3292;83.9528;84.3793;83.97
sep.-20;83.4069;85.2807;85.8328;86.766;83.5048;83.8803;82.0644;93.0214;85.8445;85.5265;83.7056;83.6024;84.8375;84.51
oct.-20;83.8121;85.6758;89.2338;87.0289;84.0131;84.5438;82.0319;93.3054;86.7491;85.9784;84.0334;83.9643;85.536;85
nov.-20;83.5681;85.7615;89.858;87.2039;84.4303;84.763;83.187;93.5845;86.9162;86.0281;84.3177;84.7819;85.9262;85.24
dic.-20;84.0034;85.9432;89.6798;83.2073;85.6863;84.969;83.8889;93.9839;87.0962;86.2201;84.8062;85.1322;86.152;85.07
ene.-21;84.6794;87.1666;88.2183;89.945;86.041;85.9304;83.9039;95.3444;87.3032;87.0112;85.0727;86.013;87.1988;86.44
feb.-21;84.7935;91.3236;87.8664;90.2775;87.5183;87.1878;84.4879;95.718;87.7723;89.3028;85.4604;87.3863;87.9325;87.15
mar.-21;85.2451;91.7585;88.4257;90.5688;88.5243;87.9363;85.4096;96.2985;88.7362;90.4491;85.8067;87.3513;88.3976;87.69
abr.-21;85.8315;92.2389;90.1307;90.7898;89.0717;88.1276;86.5747;96.4444;87.8212;90.3079;85.9874;87.4107;89.1849;88.13
may.-21;86.5042;92.536;90.8595;91.2201;89.5868;88.4186;87.079;96.981;86.8792;90.0413;86.3527;87.6994;89.5182;88.53
jun.-21;86.8446;92.7258;91.2201;91.9583;89.7931;89.0293;88.3275;97.7168;89.1472;90.4827;86.7982;88.1307;89.703;89.12
jul.-21;87.1432;92.6655;90.2685;92.2639;90.2004;89.6888;89.3355;98.0878;90.2385;90.6202;87.2921;89.4295;90.4452;89.58
ago.-21;87.894;92.8268;90.2842;92.7533;90.7882;90.595;90.9117;98.1681;90.8066;92.1778;87.9299;90.7921;90.9348;90.35
sep.-21;88.3713;93.1804;91.019;93.0777;91.2694;90.5676;90.9038;98.2617;91.5251;92.393;89.3172;90.6223;91.4088;90.76
oct.-21;89.9274;93.3316;93.8275;93.1776;91.9269;91.0857;93.1753;98.5474;91.6698;92.4559;89.8082;90.8676;92.0056;91.71
nov.-21;89.2312;93.7554;94.9519;93.5058;93.8888;91.9774;93.7588;98.74;91.9153;92.5121;90.6834;91.037;92.5302;91.94
dic.-21;89.4631;93.961;95.5539;89.6246;94.2463;92.1138;95.0776;99.4829;92.3695;92.5855;91.7884;91.2551;93.0842;91.85
ene.-22;90.6264;97.5051;94.7641;95.6527;94.7096;93.2001;94.9035;99.7266;92.8351;93.0631;92.2711;94.1709;93.9095;93.49
feb.-22;93.5093;98.3346;94.8538;96.3143;95.4384;94.7761;95.5136;99.7489;92.8968;96.7013;92.8854;94.666;94.7205;94.86
